02455E58-3E9C-42F0-9951-266A45466AA0#appfire#02.1005.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Tools#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
08494AC0-0807-4F76-A31B-869DBEFFD35B#appfire#02.1002.1001.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Reports#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
6BFE51FF-8E5C-47B4-9717-E0CE4A612CBB#appfire#02.1004.1004.#appfire##appfire#Buzzor.view.usermanagement.enduser.EndUserProfileMainView#appfire##appfire#1#appfire#0#appfire#User Profile#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
75EE22F4-C978-40F5-8D6F-96551580D77D#appfire#02.1004.1002.#appfire##appfire#Buzzor.view.usermanagement.users.UserRoleMainView#appfire##appfire#1#appfire#0#appfire#User Role#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
7DEF0CA9-EBFC-46AE-A02A-C478426FAEDA#appfire#02.1005.1001.#appfire##appfire#Buzzor.view.reportbuilder.mainview.ReportMainView#appfire##appfire#1#appfire#0#appfire#Report Builder#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
825AF294-1CCF-4644-A3E9-B9ABD9E8906E#appfire#01.1002.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Data Visualizer#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
88291610-934D-4318-BE04-F2AA8616594A#appfire#01.1001.1003.#appfire##appfire#Buzzor.singx.web.singx.view.singx.BankMain#appfire##appfire#1#appfire#0#appfire#Bank#appfire##appfire#B9086B83-F802-49A7-B8DF-5FBA459731F6#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
8C2CC72E-A2A3-40DB-AA08-42F69F56356B#appfire#01.1001.1006.#appfire##appfire#Buzzor.singx.web.singx.view.singx.ResidenceTypeMain#appfire##appfire#1#appfire#0#appfire#Residence Type#appfire##appfire#8D3D2927-80C2-45C8-8728-ED9AD9B2234D#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
8CAB7341-6CDE-4E27-95ED-AC042D0B246A#appfire#01.1001.1002.#appfire##appfire#Buzzor.singx.web.singx.view.singx.WireTransferModeMain#appfire##appfire#1#appfire#0#appfire#Wire Transfer Mode#appfire##appfire#64D5AFCF-4372-422D-89F0-011280D49920#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
8E751B0E-C131-4525-B554-6BEE1742F684#appfire#02.1002.1001.1003.#appfire##appfire#Buzzor.view.reportui.ReportView#appfire##appfire#1#appfire#0#appfire#App Server Memory Usage#appfire##appfire#B13DDB9C-45CD-4A6E-A708-5CB473BAF5AC#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
91C5D957-1FE1-4B16-95A1-536C8F390E26#appfire#01.1001.1004.#appfire##appfire#Buzzor.singx.web.singx.view.singx.BankBranchMain#appfire##appfire#1#appfire#0#appfire#Branch#appfire##appfire#01EA1DCF-6D25-485C-B67B-962A100F7618#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
991AA965-A864-416C-8664-0088AAB5CAAA#appfire#02.1004.1003.#appfire##appfire#Buzzor.view.usermanagement.admin.AdminUserManagement#appfire##appfire#1#appfire#0#appfire#User Management#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
A9C81508-7122-43FA-A43E-5C3894A2FD36#appfire#02.1002.1001.1001.#appfire##appfire#Buzzor.view.reportui.ReportView#appfire##appfire#1#appfire#0#appfire#System Memory Usage#appfire##appfire#35BE388C-93DF-44B0-AFE3-8D5B32976AEA#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
A9CF1FDA-F2A0-4495-871A-1464A84A7138#appfire#02.1002.1001.1002.#appfire##appfire#Buzzor.view.reportui.ReportView#appfire##appfire#1#appfire#0#appfire#Request Details#appfire##appfire#4CB84773-2DD6-41FA-A842-9CE88FBE0EB3#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
D4B04C5D-F43E-47F3-8F52-083CB3B4E9C4#appfire#01.1001.1001.#appfire##appfire#Buzzor.singx.web.singx.view.singx.AgentMain#appfire##appfire#1#appfire#0#appfire#Agent#appfire##appfire#20EDA2A7-F616-48E2-AEB8-23222AED15B4#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
DFBDB77D-D21A-49D2-AD97-8CEAE2BC09B4#appfire#02.1001.1001.#appfire##appfire#Buzzor.view.logger.LogConfigurationTabPanel#appfire##appfire#1#appfire#0#appfire#Log Configuration#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
E3BA8598-2B84-47B8-A9F5-1546BEFEB2D4#appfire#01.#appfire##appfire##appfire##appfire#1#appfire#1#appfire#Resources#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
E4EC776D-8CC7-436C-9A91-343C300410AA#appfire#02.1003.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Authentication & Authorization#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
