88B9C899-4577-4255-AABF-94A657EBBE59#appfire#01.1001.1018.#appfire##appfire#Buzzor.singx.web.singx.view.singx.SingXCustomerMain#appfire##appfire#1#appfire#0#appfire#Customer#appfire##appfire#0291FB91-9DD1-4606-ACA8-4218B137C7CB#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
96AB76D9-3726-4001-964D-1E6F733811F9#appfire#02.1001.1001.#appfire##appfire#Buzzor.view.logger.LogConfigurationTabPanel#appfire##appfire#1#appfire#0#appfire#Log Configuration#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
99640E34-87D3-4161-BDF6-7EB7A94E21F6#appfire#02.1004.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#User Management#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
9BD9B8D1-F88B-49FF-AD54-98F928473D58#appfire#02.1004.1002.#appfire##appfire#Buzzor.view.usermanagement.users.UserRoleMainView#appfire##appfire#1#appfire#0#appfire#User Role#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
A0D2D61A-41D6-4E64-AD8B-CF0335649D2F#appfire#02.1001.1002.#appfire##appfire#Buzzor.view.logalarm.LogAlarmMainView#appfire##appfire#1#appfire#0#appfire#Log Alarm#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
A412F977-E932-4F19-AF85-36855123BDDC#appfire#02.1004.1003.#appfire##appfire#Buzzor.view.usermanagement.admin.AdminUserManagement#appfire##appfire#1#appfire#0#appfire#User Management#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
A8BE6840-22F8-4A13-9577-A4E91740C283#appfire#01.#appfire##appfire##appfire##appfire#1#appfire#1#appfire#Resources#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
B734AD3A-82A1-4CC9-A0F3-B0C2891FB595#appfire#01.1001.1007.#appfire##appfire#Buzzor.singx.web.singx.view.singx.CompanyTypeMain#appfire##appfire#1#appfire#0#appfire#Company Type#appfire##appfire#B8CEBE91-AF18-4277-A85B-DD12036ACFEB#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
BDA972AC-88B6-46BE-A554-EC42F3598973#appfire#02.1005.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Tools#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
C4A40C42-C45C-428A-9FFE-879CF0D25F8E#appfire#01.1001.1014.#appfire##appfire#Buzzor.singx.web.singx.view.singx.CfgMasterDocumentsMain#appfire##appfire#1#appfire#0#appfire#Master Documents#appfire##appfire#A8675CDC-6FEA-4311-A04D-07659419F15F#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
C5FA9139-6524-4791-A5D6-F814B8412DB0#appfire#01.1001.1009.#appfire##appfire#Buzzor.singx.web.singx.view.singx.ResidenceTypeMain#appfire##appfire#1#appfire#0#appfire#Residence Type#appfire##appfire#8D3D2927-80C2-45C8-8728-ED9AD9B2234D#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
CC89770B-77E8-4774-B5BF-EBD72AEB47DA#appfire#02.1002.1001.1003.#appfire##appfire#Buzzor.view.reportui.ReportView#appfire##appfire#1#appfire#0#appfire#App Server Memory Usage#appfire##appfire#B13DDB9C-45CD-4A6E-A708-5CB473BAF5AC#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
D1CE5AA2-25CE-4374-B5DE-8424B74E2E71#appfire#01.1001.1008.#appfire##appfire#Buzzor.singx.web.singx.view.singx.CompanyCategoryMain#appfire##appfire#1#appfire#0#appfire#Company Category#appfire##appfire#014DD8CF-13CB-4F3A-996B-C853A89232CA#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
D8337B84-7F63-49F5-89DF-39906A93396A#appfire#02.#appfire##appfire##appfire##appfire#1#appfire#1#appfire#App Setup#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
DCA234B9-97E0-4469-B5C2-093A1645F5EC#appfire#02.1002.1001.1001.#appfire##appfire#Buzzor.view.reportui.ReportView#appfire##appfire#1#appfire#0#appfire#System Memory Usage#appfire##appfire#35BE388C-93DF-44B0-AFE3-8D5B32976AEA#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
E33789CB-16F5-4534-A6A0-F895A2E6D46C#appfire#01.1001.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Master#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
E3E54EBC-2F53-4DCA-9769-43A29B368E98#appfire#02.1001.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Log Setup#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
F1CA3BDF-6A43-4DDE-9310-EC5EDB6586BA#appfire#01.1001.1002.#appfire##appfire#Buzzor.singx.web.singx.view.singx.WireTransferModeMain#appfire##appfire#1#appfire#0#appfire#Wire Transfer Mode#appfire##appfire#64D5AFCF-4372-422D-89F0-011280D49920#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
FB934FAA-0C70-41DA-BC2A-04CE0CAEE711#appfire#01.1001.1016.#appfire##appfire#Buzzor.singx.web.singx.view.singx.CfgDocCntCorporateMain#appfire##appfire#1#appfire#0#appfire#Corporate Doc Count Config#appfire##appfire#01F32EB4-0672-424A-A25B-5FA9F65A7AE4#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
