6BDD65E9-84FE-45CD-9A8D-9C5CD406D6FE#appfire#02.1002.1002.#appfire##appfire#Buzzor.view.apphealth.AppHealthTabPanel#appfire##appfire#1#appfire#0#appfire#Health Configuration#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
6E41B39F-A8E8-4758-8AF6-E4FD27513C05#appfire#01.1001.1003.#appfire##appfire#Buzzor.singx.web.singx.view.singx.BankMain#appfire##appfire#1#appfire#0#appfire#Bank#appfire##appfire#B9086B83-F802-49A7-B8DF-5FBA459731F6#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
79A0F901-6032-49A0-AED2-FAF483523B43#appfire#02.1002.1001.1001.#appfire##appfire#Buzzor.view.reportui.ReportView#appfire##appfire#1#appfire#0#appfire#System Memory Usage#appfire##appfire#35BE388C-93DF-44B0-AFE3-8D5B32976AEA#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
95456A5F-7653-475E-87E5-0E37D8D38DFB#appfire#02.#appfire##appfire##appfire##appfire#1#appfire#1#appfire#App Setup#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
ADD305D5-04B7-4848-8B8D-CA07E1530A3B#appfire#02.1001.1001.#appfire##appfire#Buzzor.view.logger.LogConfigurationTabPanel#appfire##appfire#1#appfire#0#appfire#Log Configuration#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
AFD849C3-97F2-4152-B331-1ED0CAEC0B9A#appfire#02.1001.1002.#appfire##appfire#Buzzor.view.logalarm.LogAlarmMainView#appfire##appfire#1#appfire#0#appfire#Log Alarm#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
B0DC88AC-72E1-420E-AD31-D5B76B005A76#appfire#02.1004.1003.#appfire##appfire#Buzzor.view.usermanagement.admin.AdminUserManagement#appfire##appfire#1#appfire#0#appfire#User Management#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
C184BD93-9762-4885-99FB-FCC7C4E31CE8#appfire#02.1001.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Log Setup#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
C3EE7E95-22D1-4B75-A9F0-0F0410CD1BDA#appfire#01.#appfire##appfire##appfire##appfire#1#appfire#1#appfire#Resources#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
C8439D8E-D54A-45CD-A378-A4576F7BC404#appfire#02.1003.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Authentication & Authorization#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
D518A286-B675-423C-BB61-33D5C7A0221A#appfire#02.1002.1001.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Reports#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
DD33ECE4-3533-419E-847C-D672E1258993#appfire#01.1001.1002.#appfire##appfire#Buzzor.singx.web.singx.view.singx.WireTransferModeMain#appfire##appfire#1#appfire#0#appfire#Wire Transfer Mode#appfire##appfire#64D5AFCF-4372-422D-89F0-011280D49920#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
F2589AAD-378E-4F37-BB21-F5F3BB798440#appfire#02.1004.1004.#appfire##appfire#Buzzor.view.usermanagement.enduser.EndUserProfileMainView#appfire##appfire#1#appfire#0#appfire#User Profile#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
